AverageFlow Volume Duration Outlet
171.6 9438 59 washingMachine
172.38461538461542 2241 14 washingMachine
164.30769230769232 2136 14 washingMachine
171.57142857142858 3603 22 washingMachine
158.9230769230769 4132 28 washingMachine
168.83333333333334 3039 19 washingMachine
141.5 1415 11 washingMachine
177.28 8864 53 washingMachine
161.0769230769231 2094 14 washingMachine
155.14285714285714 1086 7 washingMachine
142.14285714285714 995 7 washingMachine
175.41176470588238 8946 54 washingMachine
164.23809523809524 3449 22 washingMachine
152.55555555555554 1373 10 washingMachine
180.08333333333337 8644 52 washingMachine
154.9090909090909 1704 12 washingMachine
142.375 1139 8 washingMachine
159.23076923076925 2070 14 washingMachine
168.61904761904762 3541 23 washingMachine
177.85714285714286 7470 45 washingMachine
153.6 1536 10 washingMachine
181.10526315789474 10323 60 washingMachine
145.5 1455 11 washingMachine
164.5 4277 28 washingMachine
163.69230769230768 2128 14 washingMachine
176.38095238095238 3704 22 washingMachine
165.91666666666666 3982 26 washingMachine
178.46666666666667 2677 16 washingMachine
183.2340425531915 8612 50 washingMachine
143.875 1151 8 washingMachine
165.7 1657 11 washingMachine
182.91666666666663 2195 13 washingMachine
170.61904761904762 3583 22 washingMachine
173.6206896551724 5035 30 washingMachine
151.4 1514 10 washingMachine
173.46666666666667 2602 16 washingMachine
176.5 8825 53 washingMachine
149.9090909090909 1649 11 washingMachine
176.25 2115 13 washingMachine
171.80952380952382 3608 22 washingMachine
179.66666666666663 4851 29 washingMachine
150.55555555555554 1355 10 washingMachine
168.58928571428572 9441 61 washingMachine
135.125 1081 9 washingMachine
152.57142857142858 1068 7 washingMachine
167.40350877192984 9542 60 washingMachine
189.59459459459458 7015 39 washingMachine
150.85714285714286 1056 8 washingMachine
172.06 8603 54 washingMachine
141.77777777777774 1276 9 washingMachine
172.23076923076923 2239 13 washingMachine
169.23809523809524 3554 23 washingMachine
166.58333333333334 3998 25 washingMachine
163.86666666666667 2458 15 washingMachine
147.66666666666666 1329 9 washingMachine
168.61403508771932 9611 62 washingMachine
171.25 8905 55 washingMachine
141.2 1412 11 washingMachine
138.5 1108 8 washingMachine
131.42857142857142 920 8 washingMachine
145.0 1160 8 washingMachine
