AverageFlow Volume Duration Outlet
45.625 365 8 washroomBasin
53.84 1346 27 washroomBasin
37.75609756097561 1548 43 washroomBasin
74.2 742 10 washroomBasin
76.0 988 13 washroomBasin
40.833333333333336 245 6 washroomBasin
44.1 441 11 washroomBasin
57.625 461 8 washroomBasin
59.66666666666666 1074 19 washroomBasin
45.64285714285714 639 15 washroomBasin
25.58333333333333 307 12 washroomBasin
81.22222222222223 731 10 washroomBasin
30.63157894736842 582 20 washroomBasin
47.06896551724138 1365 30 washroomBasin
12.181818181818182 134 12 washroomBasin
17.782178217821784 1796 108 washroomBasin
31.5625 1010 34 washroomBasin
12.785714285714285 179 15 washroomBasin
22.875 183 8 washroomBasin
67.125 537 8 washroomBasin
30.53333333333333 916 35 washroomBasin
31.057142857142853 2174 74 washroomBasin
13.909090909090908 459 35 washroomBasin
6.7142857142857135 47 8 washroomBasin
30.5625 489 16 washroomBasin
31.07142857142857 435 15 washroomBasin
54.22 2711 53 washroomBasin
35.875 287 9 washroomBasin
17.153846153846153 223 14 washroomBasin
16.555555555555557 149 10 washroomBasin
18.1875 291 17 washroomBasin
32.60185185185185 3521 114 washroomBasin
18.55421686746988 1540 88 washroomBasin
46.52083333333334 2233 51 washroomBasin
16.0 192 12 washroomBasin
61.5 861 15 washroomBasin
12.222222222222221 220 19 washroomBasin
33.81081081081081 1251 39 washroomBasin
22.428571428571423 314 15 washroomBasin
14.0 168 12 washroomBasin
79.86363636363636 1757 23 washroomBasin
18.35135135135135 679 39 washroomBasin
32.413793103448285 1880 61 washroomBasin
15.964285714285715 447 30 washroomBasin
39.35849056603774 2086 56 washroomBasin
16.333333333333332 196 13 washroomBasin
39.65217391304348 912 27 washroomBasin
19.33333333333333 174 9 washroomBasin
48.5 1649 37 washroomBasin
56.7 567 10 washroomBasin
17.727272727272727 195 12 washroomBasin
54.67123287671233 3991 78 washroomBasin
13.344827586206893 387 34 washroomBasin
14.428571428571427 202 15 washroomBasin
32.37735849056604 1716 57 washroomBasin
66.94444444444444 1205 19 washroomBasin
15.266666666666667 458 31 washroomBasin
24.4 244 11 washroomBasin
16.46153846153846 214 14 washroomBasin
18.44186046511628 793 48 washroomBasin
16.214285714285715 227 14 washroomBasin
13.370370370370368 361 28 washroomBasin
43.50819672131147 2654 64 washroomBasin
28.04 701 26 washroomBasin
17.625 141 8 washroomBasin
16.076923076923073 209 14 washroomBasin
30.384615384615387 395 18 washroomBasin
15.307692307692307 199 14 washroomBasin
46.84375 1499 34 washroomBasin
12.666666666666664 76 6 washroomBasin
14.176470588235292 241 18 washroomBasin
19.285714285714285 135 8 washroomBasin
19.33333333333333 116 6 washroomBasin
35.54545454545455 391 12 washroomBasin
27.266666666666666 409 16 washroomBasin
16.789473684210527 638 41 washroomBasin
44.07142857142857 617 15 washroomBasin
28.142857142857146 591 22 washroomBasin
32.0 1024 34 washroomBasin
43.627906976744185 1876 46 washroomBasin
30.72727272727273 338 12 washroomBasin
14.083333333333336 169 13 washroomBasin
56.38983050847458 3327 63 washroomBasin
16.88888888888889 152 10 washroomBasin
54.24242424242424 1790 35 washroomBasin
52.0 520 11 washroomBasin
19.26086956521739 443 24 washroomBasin
31.41666666666667 1508 51 washroomBasin
56.7027027027027 2098 39 washroomBasin
15.173913043478262 349 24 washroomBasin
34.717948717948715 2708 82 washroomBasin
47.153846153846146 613 14 washroomBasin
66.3 1326 21 washroomBasin
34.2 342 10 washroomBasin
26.5 212 8 washroomBasin
34.8 348 10 washroomBasin
18.166666666666668 218 13 washroomBasin
17.384615384615387 226 14 washroomBasin
56.41666666666666 677 16 washroomBasin
28.619047619047624 601 22 washroomBasin
69.77272727272727 1535 23 washroomBasin
48.085714285714296 1683 37 washroomBasin
25.25 202 8 washroomBasin
16.375 131 9 washroomBasin
15.4 231 17 washroomBasin
29.8125 477 17 washroomBasin
29.632653061224488 1452 52 washroomBasin
27.57142857142857 386 15 washroomBasin
32.7 327 11 washroomBasin
26.642857142857146 373 15 washroomBasin
18.875 302 17 washroomBasin
20.38571428571429 1427 74 washroomBasin
57.9 1158 24 washroomBasin
39.375 315 8 washroomBasin
27.30769230769231 355 14 washroomBasin
18.08823529411765 615 36 washroomBasin
14.833333333333336 89 6 washroomBasin
23.41666666666667 281 12 washroomBasin
18.75 225 13 washroomBasin
34.78947368421053 661 20 washroomBasin
8.333333333333334 50 6 washroomBasin
15.5 124 9 washroomBasin
35.333333333333336 318 9 washroomBasin
15.833333333333336 190 13 washroomBasin
13.714285714285715 192 15 washroomBasin
16.0 96 6 washroomBasin
35.166666666666664 211 8 washroomBasin
27.92857142857143 391 15 washroomBasin
57.46153846153846 747 14 washroomBasin
20.0 420 23 washroomBasin
13.142857142857142 184 15 washroomBasin
31.09090909090909 342 12 washroomBasin
85.66666666666667 2056 25 washroomBasin
44.06666666666667 661 16 washroomBasin
45.19047619047619 2847 72 washroomBasin
39.0 702 19 washroomBasin
21.6 216 11 washroomBasin
70.28571428571429 492 7 washroomBasin
12.166666666666664 146 13 washroomBasin
60.87179487179486 2374 42 washroomBasin
59.25 1422 26 washroomBasin
15.142857142857142 106 8 washroomBasin
13.61904761904762 286 22 washroomBasin
60.18421052631579 2287 40 washroomBasin
66.86666666666666 1003 20 washroomBasin
19.9 199 11 washroomBasin
18.142857142857142 127 7 washroomBasin
18.7 187 11 washroomBasin
14.285714285714285 100 8 washroomBasin
59.03947368421053 4487 81 washroomBasin
69.33333333333333 624 9 washroomBasin
28.0 392 15 washroomBasin
37.53846153846154 1464 44 washroomBasin
37.6 2068 58 washroomBasin
35.81818181818182 394 12 washroomBasin
71.0 1349 22 washroomBasin
